Day Ct,Set Ct,Trial Ct,Set Trial Ct,Speculum Type,Size,Brand,Material,Material Type,Method,Hand,Spec Ang,Spec Ht,Opening Distance,wd_rel.0,wd_rel.20,wd_rel.40,wd_rel.60,wd_rel.80,wd_rel.120,wd_rel.160,wd_rel.200,ht_rel.0,ht_rel.20,ht_rel.40,ht_rel.60,ht_rel.80,ht_rel.120,ht_rel.160,ht_rel.200
4,29,58,1,Green,7,Protexis,Latex,Glove,Middle,R,5,0,2.85,0.0,-0.004385964912280604,0.07894736842105265,0.11403508771929827,0.1885964912280702,0.25,0.32456140350877194,0.41666666666666663,0.0,0.05182926829268297,0.10365853658536583,0.14634146341463417,0.20731707317073167,0.2682926829268293,0.3414634146341463,0.4024390243902439
4,29,67,2,Green,7,Protexis,Latex,Glove,Middle,L,5,0,2.65,0.0,0.0,0.030405405405405372,0.06756756756756754,0.09459459459459463,0.19594594594594594,0.2466216216216216,0.3581081081081081,0.0,0.006369426751592355,0.019108280254777066,0.04458598726114649,0.08280254777070062,0.17834394904458595,0.2866242038216561,0.3280254777070064
4,29,77,3,Green,7,Protexis,Latex,Glove,Middle,R,5,0,2.5,0.0,0.040000000000000036,0.07999999999999996,0.13,0.17666666666666664,0.2666666666666667,0.32666666666666666,0.4,0.0,0.03125,0.05625000000000002,0.07499999999999996,0.109375,0.1875,0.25312500000000004,0.30625
4,30,59,1,Green,7,Protexis PI Blue,"Polyisoprene, emollient coating",Glove,Middle,R,5,0,3.35,0.0,-0.04347826086956519,0.07971014492753625,0.12681159420289856,0.18840579710144922,0.26449275362318836,0.3442028985507246,0.39492753623188404,0.0,0.109375,0.19374999999999998,0.24687499999999996,0.290625,0.375,0.4125,0.46875
4,30,68,2,Green,7,Protexis PI Blue,"Polyisoprene, emollient coating",Glove,Middle,L,5,0,3.4,0.0,0.06268656716417909,0.15522388059701497,0.16417910447761197,0.21791044776119406,0.25373134328358204,0.32835820895522383,0.3791044776119403,0.0,0.057627118644067776,0.12542372881355934,0.17288135593220344,0.23389830508474574,0.32881355932203393,0.4067796610169492,0.4711864406779661
4,30,78,3,Green,7,Protexis PI Blue,"Polyisoprene, emollient coating",Glove,Middle,R,5,0,3.15,0.0,0.04582210242587603,0.0835579514824798,0.12938005390835583,0.1671159029649596,0.23450134770889486,0.3153638814016172,0.36657681940700804,0.0,0.023054755043227626,0.06340057636887608,0.12103746397694526,0.18443804034582134,0.2910662824207493,0.3688760806916427,0.42939481268011526
4,31,60,1,Green,8,SensiCare PI,Polyisoprene,Glove,Middle,R,5,0,3.05,0.0,0.037267080745341574,0.06832298136645965,0.0993788819875776,0.12422360248447206,0.16149068322981364,0.24844720496894412,0.2919254658385093,0.0,0.0,0.06060606060606055,0.12727272727272732,0.1515151515151515,0.24242424242424243,0.32727272727272727,0.36969696969696975
4,31,69,2,Green,8,SensiCare PI,Polyisoprene,Glove,Middle,L,5,0,2.85,0.0,0.0547945205479452,0.09931506849315064,0.15753424657534243,0.1917808219178082,0.2705479452054794,0.3356164383561644,0.40410958904109584,0.0,0.0,0.022435897435897467,0.08012820512820518,0.13782051282051277,0.23717948717948723,0.3108974358974359,0.3621794871794872
4,31,79,3,Green,8,SensiCare PI,Polyisoprene,Glove,Middle,R,5,0,3.0,0.0,0.0431034482758621,0.08908045977011492,0.12356321839080464,0.16091954022988508,0.2270114942528736,0.29022988505747127,0.35344827586206895,0.0,0.0028818443804035088,0.04034582132564846,0.12103746397694526,0.19020172910662825,0.27953890489913547,0.34582132564841495,0.4005763688760807
4,32,61,1,Green,8,Protexis PI,Polyisoprene,Glove,Middle,R,5,0,4.2,0.0,0.05581395348837215,0.06511627906976747,0.08372093023255811,0.06976744186046513,0.1348837209302326,0.19069767441860463,0.23720930232558135,0.0,0.053892215568862256,0.17365269461077848,0.34730538922155685,0.4610778443113772,0.6167664670658682,0.7485029940119761,0.8802395209580838
4,32,70,2,Green,8,Protexis PI,Polyisoprene,Glove,Middle,L,5,0,3.2,0.0,0.027295285359801524,0.06203473945409432,0.1017369727047146,0.14888337468982626,0.2109181141439206,0.2679900744416873,0.3076923076923077,0.0,0.0977011494252874,0.15804597701149425,0.26724137931034486,0.3448275862068966,0.47126436781609193,0.5747126436781609,0.6551724137931034
4,32,80,3,Green,8,Protexis PI,Polyisoprene,Glove,Middle,R,5,0,3.55,0.0,0.03294117647058825,0.08235294117647063,0.12235294117647055,0.1741176470588235,0.21882352941176475,0.27294117647058824,0.33176470588235296,0.0,0.06349206349206349,0.17195767195767198,0.2777777777777778,0.33597883597883593,0.42328042328042326,0.4973544973544973,0.5502645502645502
4,33,62,1,Green,8,Protegrity Micro SMT,"Latex, nitrile coating",Glove,Middle,R,5,0,4.05,0.0,-0.04712041884816753,-0.015706806282722585,0.05759162303664922,-0.07853403141361248,0.05235602094240843,0.12565445026178013,0.16230366492146597,0.0,-0.01734104046242768,0.10982658959537572,0.22543352601156075,0.38150289017341044,0.49710982658959535,0.5722543352601156,0.6936416184971098
4,33,71,2,Green,8,Protegrity Micro SMT,"Latex, nitrile coating",Glove,Middle,L,5,0,3.6,0.0,-0.19999999999999996,-0.16666666666666674,-0.12380952380952381,-0.08095238095238089,-0.023809523809523725,0.02857142857142858,0.07619047619047614,0.0,0.04739336492891,0.14218009478672988,0.23696682464454977,0.30805687203791465,0.41706161137440756,0.4928909952606635,0.5592417061611374
4,33,81,3,Green,8,Protegrity Micro SMT,"Latex, nitrile coating",Glove,Middle,R,5,0,3.9,0.0,0.035175879396984966,0.09547738693467334,0.1331658291457286,0.16331658291457285,0.24371859296482412,0.3040201005025126,0.35929648241206025,0.0,0.07440476190476186,0.1696428571428571,0.25595238095238093,0.3214285714285714,0.39880952380952384,0.46726190476190477,0.5119047619047619
4,34,63,1,Green,8-8.5,MEDLINE,Nitrile,Glove,Middle,R,5,0,2.4,0.0,0.033816425120772986,0.09661835748792269,0.2560386473429952,0.26086956521739135,0.28985507246376807,0.35748792270531404,0.5169082125603865,0.0,0.046666666666666634,0.023333333333333317,-0.0033333333333334103,0.0033333333333332993,0.08666666666666667,0.17333333333333334,0.21999999999999997
